"year","price","adjust"
813,"Cobb","IMSDB"
814,"Confessions of a Dangerous Mind","IMSDB"
815,"Collateral Damage","IMSDB"
816,"Cold Mountain","IMSDB"
817,"Collateral","IMSDB"
818,"Constantine","IMSDB"
819,"Confidence","IMSDB"
820,"The Cooler","IMSDB"
821,"Contact","IMSDB"
822,"Cradle 2 the Grave","IMSDB"
823,"Copycat","IMSDB"
824,"Coraline","IMSDB"
825,"Crash","IMSDB"
826,"Crank","IMSDB"
828,"Crazylove","IMSDB"
829,"The Crow","IMSDB"
830,"Crime Spree","IMSDB"
831,"Croupier","IMSDB"
832,"The Crow: City of Angels","IMSDB"
833,"The Crow Salvation","IMSDB"
834,"Cube","IMSDB"
835,"Cruel Intentions","IMSDB"
836,"Crying Game","IMSDB"
837,"Custody","IMSDB"
838,"The Damned United","IMSDB"
839,"Dances with Wolves","IMSDB"
840,"The Curious Case of Benjamin Button","IMSDB"
841,"Dark Star","IMSDB"
842,"Dark City","IMSDB"
843,"Dark Knight, The","IMSDB"
844,"Day of the Dead","IMSDB"
845,"Dawn of the Dead","IMSDB"
846,"The Day the Clown Cried","IMSDB"
847,"Dead Poets Society","IMSDB"
848,"Days of Heaven","IMSDB"
849,"The Day the Earth Stood Still","IMSDB"
850,"Death to Smoochy","IMSDB"
851,"Deception","IMSDB"
852,"Deep Cover","IMSDB"
853,"The Deer Hunter","IMSDB"
854,"Deep Rising","IMSDB"
855,"Defiance","IMSDB"
856,"Detroit Rock City","IMSDB"
857,"Departed, The","IMSDB"
858,"Devil's Advocate","IMSDB"
859,"Devil in a Blue Dress","IMSDB"
860,"Die Hard","IMSDB"
861,"Do The Right Thing","IMSDB"
862,"The Distinguished Gentleman","IMSDB"
863,"Disturbia","IMSDB"
864,"Dog Day Afternoon","IMSDB"
865,"Dogma","IMSDB"
866,"Donnie Brasco","IMSDB"
867,"Drag Me to Hell","IMSDB"
868,"Dragonslayer","IMSDB"
869,"Double Indemnity","IMSDB"
870,"Drop Dead Gorgeous","IMSDB"
871,"The Doors","IMSDB"
872,"Dry White Season, A","IMSDB"
873,"Duck Soup","IMSDB"
874,"Dumb and Dumber","IMSDB"
875,"Dune","IMSDB"
876,"E.T.","IMSDB"
877,"Ed TV","IMSDB"
878,"Edward Scissorhands","IMSDB"
879,"Eagle Eye","IMSDB"
880,"El Mariachi","IMSDB"
881,"Eight Legged Freaks","IMSDB"
882,"Ed Wood","IMSDB"
883,"Election","IMSDB"
884,"Enemy of the State","IMSDB"
885,"Elizabeth: The Golden Age","IMSDB"
886,"The Elephant Man","IMSDB"
887,"The English Patient","IMSDB"
888,"Erik the Viking","IMSDB"
889,"Entrapment","IMSDB"
890,"Erin Brockovich","IMSDB"
891,"Escape From New York","IMSDB"
892,"Escape From L.A.","IMSDB"
893,"Even Cowgirls Get the Blues","IMSDB"
894,"Eternal Sunshine of the Spotless Mind","IMSDB"
895,"Evil Dead II: Dead by Dawn","IMSDB"
896,"Event Horizon","IMSDB"
897,"Evil Dead","IMSDB"
898,"Eyes Wide Shut","IMSDB"
899,"Fabulous Baker Boys, The","IMSDB"
901,"Executive Decision","IMSDB"
902,"Face Off","IMSDB"
903,"Family Man, The","IMSDB"
904,"Fargo","IMSDB"
905,"Fantastic Four","IMSDB"
906,"Fast Times at Ridgemont High","IMSDB"
907,"Fear and Loathing in Las Vegas","IMSDB"
908,"Fatal Instinct","IMSDB"
909,"Ferris Bueller's Day Off","IMSDB"
910,"Feast","IMSDB"
911,"Fifth Element, The","IMSDB"
912,"Fight Club","IMSDB"
913,"Finding Nemo","IMSDB"
914,"Final Destination 2","IMSDB"
915,"Final Destination","IMSDB"
916,"Five Easy Pieces","IMSDB"
917,"Fletch","IMSDB"
918,"Four Feathers","IMSDB"
919,"The Flintstones","IMSDB"
920,"Four Rooms","IMSDB"
921,"Forrest Gump","IMSDB"
922,"Freddy vs. Jason","IMSDB"
923,"Fracture","IMSDB"
924,"Frances","IMSDB"
925,"Frankenstein","IMSDB"
926,"Friday the 13th Part VIII: Jason Takes Manhattan","IMSDB"
927,"The French Connection","IMSDB"
928,"Friday the 13th","IMSDB"
929,"Frequency","IMSDB"
930,"The Fugitive","IMSDB"
931,"Full Metal Jacket","IMSDB"
932,"Frozen River","IMSDB"
933,"From Dusk Till Dawn","IMSDB"
934,"Funny People","IMSDB"
935,"G.I. Joe: The Rise of Cobra","IMSDB"
936,"The Game","IMSDB"
937,"G.I. Jane","IMSDB"
938,"Game 6","IMSDB"
939,"Gamer","IMSDB"
940,"Gang Related","IMSDB"
941,"Gattaca","IMSDB"
942,"Gangs of New York","IMSDB"
943,"Get Carter","IMSDB"
944,"Get Shorty","IMSDB"
945,"Getaway, The","IMSDB"
946,"Ghost Ship","IMSDB"
947,"Ghost and the Darkness, The","IMSDB"
948,"Ghost World","IMSDB"
949,"Ghost","IMSDB"
950,"Ghostbusters 2","IMSDB"
951,"Ghostbusters","IMSDB"
952,"Gladiator","IMSDB"
953,"Ginger Snaps","IMSDB"
954,"Glengarry Glen Gross","IMSDB"
955,"Godfather","IMSDB"
956,"Godfather Part II","IMSDB"
957,"Go","IMSDB"
958,"Gods and Monsters","IMSDB"
959,"Gone in 60 Seconds","IMSDB"
960,"Gandhi","IMSDB"
961,"Godzilla","IMSDB"
962,"Gothika","IMSDB"
963,"Good Will Hunting","IMSDB"
964,"Goodfellas","IMSDB"
965,"The Graduate","IMSDB"
966,"Gran Torino","IMSDB"
967,"Grand Theft Parsons","IMSDB"
968,"Grand Hotel","IMSDB"
969,"The Good Girl","IMSDB"
970,"The Grapes of Wrath","IMSDB"
971,"Gremlins","IMSDB"
972,"Grifters, The","IMSDB"
973,"Gremlins 2","IMSDB"
974,"Grosse Point Blank","IMSDB"
975,"Groundhog Day","IMSDB"
976,"Hackers","IMSDB"
977,"Grudge, The","IMSDB"
978,"Halloween: The Curse of Michael Myers","IMSDB"
979,"Hancock","IMSDB"
980,"Hangover, The","IMSDB"
981,"Hannah and Her Sisters","IMSDB"
982,"Green Mile, The","IMSDB"
983,"Happy Birthday, Wanda June","IMSDB"
984,"Hannibal","IMSDB"
985,"Hard Rain","IMSDB"
986,"Hard to Kill","IMSDB"
987,"Harry Potter and the Goblet of Fire","IMSDB"
988,"Harold and Kumar Go to White Castle","IMSDB"
989,"Harry Potter and the Chamber of Secrets","IMSDB"
990,"Harry Potter and the Half-Blood Prince","IMSDB"
991,"Harry Potter and the Sorcerer's Stone","IMSDB"
992,"Harry Potter and the Prisoner of Azkaban","IMSDB"
993,"Haunting, The","IMSDB"
994,"Heavenly Creatures","IMSDB"
995,"Heathers","IMSDB"
996,"Heat","IMSDB"
997,"He's Just Not That Into You","IMSDB"
998,"Heavy Metal","IMSDB"
999,"Hebrew Hammer, The","IMSDB"
1000,"Hellbound: Hellraiser II","IMSDB"
1001,"Heist","IMSDB"
1002,"Hellboy 2: The Golden Army","IMSDB"
1003,"Hellboy","IMSDB"
1004,"Hellraiser: Deader","IMSDB"
1005,"Hellraiser: Hellseeker","IMSDB"
1006,"Hellraiser 3: Hell on Earth","IMSDB"
1007,"Hellraiser","IMSDB"
1008,"Highlander: Endgame","IMSDB"
1009,"Highlander","IMSDB"
1010,"Henry Fool","IMSDB"
1011,"High Fidelity","IMSDB"
1012,"Hollow Man","IMSDB"
1013,"Horse Whisperer, The","IMSDB"
1014,"Hitchhiker's Guide to the Galaxy, The","IMSDB"
1015,"His Girl Friday","IMSDB"
1016,"Hostage","IMSDB"
1017,"Hospital, The","IMSDB"
1018,"House of 1000 Corpses","IMSDB"
1019,"Hotel Rwanda","IMSDB"
1020,"Hudson Hawk","IMSDB"
1021,"Hudsucker Proxy, The","IMSDB"
1022,"Human Nature","IMSDB"
1023,"I, Robot","IMSDB"
1024,"I Still Know What You Did Last Summer","IMSDB"
1025,"I'll Do Anything","IMSDB"
1026,"Ice Storm, The","IMSDB"
1027,"I am Sam","IMSDB"
1028,"Incredibles, The","IMSDB"
1029,"Imaginarium of Doctor Parnassus, The","IMSDB"
1030,"Independence Day","IMSDB"
1031,"In the Loop","IMSDB"
1032,"Indiana Jones and the Last Crusade","IMSDB"
1033,"Indiana Jones IV","IMSDB"
1034,"Indiana Jones and the Raiders of the Lost Ark","IMSDB"
1035,"Inglourious Basterds","IMSDB"
1036,"Indiana Jones and the Temple of Doom","IMSDB"
1037,"Innerspace","IMSDB"
1038,"Interview with the Vampire","IMSDB"
1039,"Insomnia","IMSDB"
1040,"The Insider","IMSDB"
1041,"Intolerable Cruelty","IMSDB"
1042,"Into the Wild","IMSDB"
1043,"Inventing the Abbotts","IMSDB"
1044,"Invention of Lying, The","IMSDB"
1046,"Italian Job, The","IMSDB"
1047,"Island, The","IMSDB"
1048,"It's a Wonderful Life","IMSDB"
1049,"JFK","IMSDB"
1050,"Jackie Brown","IMSDB"
1051,"Jacket, The","IMSDB"
1052,"Jason X","IMSDB"
1053,"Jacob's Ladder","IMSDB"
1054,"Jaws 2","IMSDB"
1055,"Jaws","IMSDB"
1056,"Jay and Silent Bob Strike Back","IMSDB"
1057,"Jennifer's Body","IMSDB"
1058,"Jennifer Eight","IMSDB"
1059,"Jerry Maguire","IMSDB"
1060,"John Q","IMSDB"
1061,"Jimmy and Judy","IMSDB"
1062,"Jurassic Park III","IMSDB"
1063,"Juno","IMSDB"
1064,"Jurassic Park: The Lost World","IMSDB"
1065,"Jurassic Park","IMSDB"
1066,"Kids","IMSDB"
1067,"Kafka","IMSDB"
1068,"Kalifornia","IMSDB"
1069,"Killing Zoe","IMSDB"
1070,"Kill Bill Volume 1 & 2","IMSDB"
1071,"King of Comedy, The","IMSDB"
1072,"King Kong","IMSDB"
1073,"Kingdom, The","IMSDB"
1074,"Klute","IMSDB"
1075,"Kramer vs Kramer","IMSDB"
1076,"Kung Fu Panda","IMSDB"
1077,"Kundun","IMSDB"
1078,"Labyrinth","IMSDB"
1079,"Labor of Love","IMSDB"
1080,"L.A. Confidential","IMSDB"
1081,"Ladykillers, The","IMSDB"
1082,"Lake Placid","IMSDB"
1083,"Land of the Dead","IMSDB"
1084,"Last Chance Harvey","IMSDB"
1085,"Last Boy Scout, The","IMSDB"
1086,"The Last Flight","IMSDB"
1087,"The Last Station","IMSDB"
1088,"The Last Samurai","IMSDB"
1089,"The Last of the Mohicans","IMSDB"
1090,"Leaving Las Vegas","IMSDB"
1091,"Law Abiding Citizen","IMSDB"
1092,"Legend","IMSDB"
1093,"Legally Blonde","IMSDB"
1094,"Legion","IMSDB"
1095,"Lethal Weapon 4","IMSDB"
1096,"Lethal Weapon","IMSDB"
1097,"Leviathan","IMSDB"
1098,"Liar Liar","IMSDB"
1099,"Life As A House","IMSDB"
1100,"The Life of David Gale","IMSDB"
1101,"Light Sleeper","IMSDB"
1102,"Life","IMSDB"
1103,"Limey, The","IMSDB"
1104,"Little Mermaid, The","IMSDB"
1105,"Little Nicky","IMSDB"
1106,"Living in Oblivion","IMSDB"
1107,"Little Athens","IMSDB"
1108,"Lock, Stock and Two Smoking Barrels","IMSDB"
1109,"Logan's Run","IMSDB"
1110,"Lone Star","IMSDB"
1111,"The Long Kiss Goodnight","IMSDB"
1112,"Lord of Illusions","IMSDB"
1113,"Lord of War","IMSDB"
1114,"Lord of the Rings: Return of the King","IMSDB"
1115,"Lord of the Rings: Fellowship of the Ring, The","IMSDB"
1116,"Lord of the Rings: The Two Towers","IMSDB"
1117,"Lost Highway","IMSDB"
1118,"Lost in Space","IMSDB"
1119,"Lost in Translation","IMSDB"
1120,"Love and Basketball","IMSDB"
1121,"Lost Horizon","IMSDB"
1122,"Made","IMSDB"
1123,"Majestic, The (The Bijou)","IMSDB"
1124,"Major League","IMSDB"
1125,"Magnolia","IMSDB"
1126,"Malcolm X","IMSDB"
1127,"Malibu's Most Wanted","IMSDB"
1128,"Man On Fire","IMSDB"
1129,"Man Trouble","IMSDB"
1130,"The Man Who Knew Too Much","IMSDB"
1131,"Man Who Wasn't There, The","IMSDB"
1132,"Man in the Iron Mask","IMSDB"
1133,"Man on the Moon","IMSDB"
1134,"The Manchurian Candidate","IMSDB"
1135,"Margot at the Wedding","IMSDB"
1136,"Manhunter","IMSDB"
1137,"Mariachi, El","IMSDB"
1139,"Mary Poppins","IMSDB"
1140,"Mask, The","IMSDB"
1141,"Matrix, The","IMSDB"
1142,"Matchstick Men","IMSDB"
1143,"Matrix Reloaded, The","IMSDB"
1144,"Meet Joe Black","IMSDB"
1145,"Meet John Doe","IMSDB"
1146,"Max Payne","IMSDB"
1147,"Memento","IMSDB"
1148,"Men in Black","IMSDB"
1149,"Men Who Stare at Goats, The","IMSDB"
1150,"Miami Vice","IMSDB"
1151,"Midnight Cowboy","IMSDB"
1152,"Metro","IMSDB"
1153,"Milk","IMSDB"
1154,"Mighty Morphin Power Rangers: The Movie","IMSDB"
1155,"Midnight Express","IMSDB"
1156,"Mimic","IMSDB"
1157,"Miller's Crossing","IMSDB"
1158,"Miracle Worker, The","IMSDB"
1159,"Mini's First Time","IMSDB"
1160,"Minority Report","IMSDB"
1161,"Mirrors","IMSDB"
1162,"Misery","IMSDB"
1163,"Mission Impossible II","IMSDB"
1164,"Mission Impossible","IMSDB"
1165,"Mission to Mars","IMSDB"
1166,"Monkeybone","IMSDB"
1167,"Moon","IMSDB"
1168,"Moonstruck","IMSDB"
1169,"Mr Brooks","IMSDB"
1170,"Mr Blandings Builds His Dream House","IMSDB"
1171,"Mrs. Brown","IMSDB"
1172,"Mulan","IMSDB"
1173,"Mr Deeds Goes to Town","IMSDB"
1174,"Mulholland Drive","IMSDB"
1175,"Mumford","IMSDB"
1176,"Mummy, The","IMSDB"
1177,"Music of the Heart","IMSDB"
1178,"My Girl","IMSDB"
1179,"My Best Friend's Wedding","IMSDB"
1180,"My Mother Dreams the Satan's Disciples in New York","IMSDB"
1181,"Napoleon Dynamite","IMSDB"
1182,"Mystery Men","IMSDB"
1183,"Nashville","IMSDB"
1184,"Never Been Kissed","IMSDB"
1185,"Natural Born Killers","IMSDB"
1186,"New York Minute","IMSDB"
1187,"Neverending Story, The","IMSDB"
1188,"Newsies","IMSDB"
1189,"Next Friday","IMSDB"
1190,"Next","IMSDB"
1191,"Nightmare Before Christmas, The","IMSDB"
1192,"Nick of Time","IMSDB"
1193,"Nightbreed","IMSDB"
1194,"Nightmare on Elm Street: The Final Chapter","IMSDB"
1195,"Nines, The","IMSDB"
1196,"Nightmare on Elm Street, A","IMSDB"
1197,"Ninth Gate, The","IMSDB"
1198,"Notting Hill","IMSDB"
1199,"O Brother Where Art Thou?","IMSDB"
1200,"Ninotchka","IMSDB"
1201,"Nurse Betty","IMSDB"
1202,"Obsessed","IMSDB"
1203,"Observe and Report","IMSDB"
1204,"Office Space","IMSDB"
1205,"Ocean's Eleven","IMSDB"
1206,"Ocean's Twelve","IMSDB"
1207,"Omega Man","IMSDB"
1208,"Orgy of the Dead","IMSDB"
1210,"Ordinary People","IMSDB"
1211,"Orphan","IMSDB"
1212,"Other Boleyn Girl, The","IMSDB"
1213,"Kate & Leopold","IMSDB"
1214,"Outbreak","IMSDB"
1215,"Panic Room","IMSDB"
1216,"Pacifier, The","IMSDB"
1217,"Out of Sight","IMSDB"
1218,"Patriot, The","IMSDB"
1219,"Pearl Harbor","IMSDB"
1220,"Peggy Sue Got Married","IMSDB"
1221,"Peeping Tom","IMSDB"
1222,"Perfect World, A","IMSDB"
1223,"Pet Sematary II","IMSDB"
1224,"Pet Sematary","IMSDB"
1225,"Petulia","IMSDB"
1226,"Pi","IMSDB"
1227,"Phone Booth","IMSDB"
1228,"Pianist, The","IMSDB"
1229,"Philadelphia","IMSDB"
1230,"Piano, The","IMSDB"
1231,"Pitch Black","IMSDB"
1232,"Pineapple Express","IMSDB"
1233,"Pirates of the Caribbean: Dead Man's Chest","IMSDB"
1235,"Planet of the Apes, The","IMSDB"
1236,"Platoon","IMSDB"
1237,"Pleasantville","IMSDB"
1238,"Pokemon: Mewtwo Returns","IMSDB"
1239,"Point Break","IMSDB"
1240,"Postman, The","IMSDB"
1241,"Power of One, The","IMSDB"
1242,"Platinum Blonde","IMSDB"
1243,"Precious","IMSDB"
1244,"Predator","IMSDB"
1245,"Pretty Woman","IMSDB"
1246,"The Princess Bride","IMSDB"
1247,"Private Life of Sherlock Holmes, The","IMSDB"
1248,"Producer, The","IMSDB"
1249,"Program, The","IMSDB"
1250,"Proposal, The","IMSDB"
1251,"Psycho","IMSDB"
1252,"Prophecy, The","IMSDB"
1253,"Punch-Drunk Love","IMSDB"
1254,"Quantum Project","IMSDB"
1255,"Public Enemies","IMSDB"
1256,"Purple Rain","IMSDB"
1257,"Pulp Fiction","IMSDB"
1258,"Queen, The","IMSDB"
1259,"Queen of the Damned","IMSDB"
1260,"RKO 281","IMSDB"
1261,"Raging Bull","IMSDB"
1262,"Rachel Getting Married","IMSDB"
1263,"Raising Arizona","IMSDB"
1264,"Rambo: First Blood II: The Mission","IMSDB"
1265,"Reader, The","IMSDB"
1266,"Rambling Rose","IMSDB"
1267,"Real Genius","IMSDB"
1268,"Rebel Without A Cause","IMSDB"
1269,"Red Planet","IMSDB"
1270,"Rear Window","IMSDB"
1272,"Rescuers Down Under, The","IMSDB"
1273,"Repo Man","IMSDB"
1274,"The Replacements","IMSDB"
1275,"Reindeer Games","IMSDB"
1276,"Reservoir Dogs","IMSDB"
1277,"Resident Evil","IMSDB"
1278,"Ringu","IMSDB"
1279,"Return of the Apes","IMSDB"
1280,"Revolutionary Road","IMSDB"
1281,"Rocky Horror Picture Show, The","IMSDB"
1282,"The Rock","IMSDB"
1283,"Robin Hood: Prince of Thieves","IMSDB"
1284,"Rocky","IMSDB"
1285,"RocknRolla","IMSDB"
1286,"Romeo & Juliet","IMSDB"
1287,"Ronin","IMSDB"
1288,"Rush Hour 2","IMSDB"
1289,"Runaway Bride","IMSDB"
1290,"The Ruins","IMSDB"
1291,"Rushmore","IMSDB"
1292,"Roughshod","IMSDB"
1293,"Rush Hour","IMSDB"
1294,"Saint, The","IMSDB"
1295,"Save the Last Dance","IMSDB"
1296,"Salton Sea, The","IMSDB"
1297,"S. Darko","IMSDB"
1298,"Scary Movie 2","IMSDB"
1299,"Saving Private Ryan","IMSDB"
1300,"Saw","IMSDB"
1301,"Scream 3","IMSDB"
1302,"Scream 2","IMSDB"
1304,"Scream","IMSDB"
1305,"Scarface","IMSDB"
1306,"Se7en","IMSDB"
1307,"Semi-Pro","IMSDB"
1308,"Searchers, The","IMSDB"
1309,"Seventh Seal, The","IMSDB"
1310,"Serial Mom","IMSDB"
1311,"Serenity","IMSDB"
1312,"Sense and Sensibility","IMSDB"
1313,"Sexual Life","IMSDB"
1314,"Sex, Lies and Videotape","IMSDB"
1315,"Sex and the City","IMSDB"
1316,"Shallow Grave","IMSDB"
1317,"Shakespeare in Love","IMSDB"
1318,"Shampoo","IMSDB"
1319,"Shawshank Redemption, The","IMSDB"
1320,"She's Out of My League","IMSDB"
1321,"Private Life of Sherlock Holmes, The","IMSDB"
1322,"Shipping News, The","IMSDB"
1323,"Shining, The","IMSDB"
1324,"Shivers","IMSDB"
1325,"Signs","IMSDB"
1326,"Shrek","IMSDB"
1327,"Sideways","IMSDB"
1328,"Siege, The","IMSDB"
1329,"Silver Bullet","IMSDB"
1330,"Silence of the Lambs","IMSDB"
1331,"Simone","IMSDB"
1332,"Sixth Sense, The","IMSDB"
1333,"Sister Act","IMSDB"
1334,"Sleepless in Seattle","IMSDB"
1335,"Sleepy Hollow","IMSDB"
1336,"Sling Blade","IMSDB"
1337,"Slither","IMSDB"
1338,"Slumdog Millionaire","IMSDB"
1339,"Snatch","IMSDB"
1340,"Smokin' Aces","IMSDB"
1341,"Solaris","IMSDB"
1342,"So I Married an Axe Murderer","IMSDB"
1343,"Snow Falling On Cedars","IMSDB"
1344,"Soldier","IMSDB"
1345,"Someone To Watch Over Me","IMSDB"
1346,"Something's Gotta Give","IMSDB"
1347,"Spare Me","IMSDB"
1348,"South Park","IMSDB"
1349,"Spanglish","IMSDB"
1350,"Spartan","IMSDB"
1351,"Speed Racer","IMSDB"
1352,"Spider-Man","IMSDB"
1353,"Sphere","IMSDB"
1354,"Star Trek: First Contact","IMSDB"
1355,"Star Trek II: The Wrath of Khan","IMSDB"
1356,"Star Trek: Generations","IMSDB"
1357,"Star Trek: Nemesis","IMSDB"
1358,"Star Trek: The Motion Picture","IMSDB"
1359,"Star Wars: Return of the Jedi","IMSDB"
1360,"Star Wars: Attack of the Clones","IMSDB"
1361,"Star Trek: The Motion Picture","IMSDB"
1362,"Star Wars: A New Hope","IMSDB"
1363,"Star Wars: Revenge of the Sith","IMSDB"
1364,"Star Wars: The Phantom Menace","IMSDB"
1365,"Star Wars: The Empire Strikes Back","IMSDB"
1366,"Starship Troopers","IMSDB"
1367,"State and Main","IMSDB"
1368,"Stepmom","IMSDB"
1369,"Station West","IMSDB"
1370,"Sting, The","IMSDB"
1371,"Starman","IMSDB"
1372,"Storytelling","IMSDB"
1373,"Stir of Echoes","IMSDB"
1374,"Strange Days","IMSDB"
1375,"Strangers on a Train","IMSDB"
1376,"Sugar and Spice","IMSDB"
1377,"Sugar","IMSDB"
1378,"Stuntman, The","IMSDB"
1379,"Sunshine Cleaning","IMSDB"
1380,"Sunset Blvd.","IMSDB"
1381,"Sweet Hereafter, The","IMSDB"
1382,"Supergirl","IMSDB"
1383,"Surfer King, The","IMSDB"
1384,"Suspect Zero","IMSDB"
1385,"Swingers","IMSDB"
1386,"Swordfish","IMSDB"
1387,"Sweet Smell of Success","IMSDB"
1388,"Synecdoche, New York","IMSDB"
1389,"TMNT","IMSDB"
1390,"Taking Sides","IMSDB"
1391,"Taking Lives","IMSDB"
1392,"The Talented Mr. Ripley","IMSDB"
1393,"TRON","IMSDB"
1394,"Tall in the Saddle","IMSDB"
1395,"Taxi Driver","IMSDB"
1396,"Terminator 2: Judgement Day","IMSDB"
1397,"Terminator Salvation","IMSDB"
1398,"There's Something About Mary","IMSDB"
1399,"Terminator","IMSDB"
1400,"Thelma & Louise","IMSDB"
1401,"Thirteen Days","IMSDB"
1402,"The Thing","IMSDB"
1403,"Three Kings (Spoils of War)","IMSDB"
1404,"They","IMSDB"
1405,"Three Kings (Spoils of War)","IMSDB"
1406,"This Boy's Life","IMSDB"
1407,"Ticker","IMSDB"
1408,"Three Men and a Baby","IMSDB"
1409,"Thunderheart","IMSDB"
1410,"Timber Falls","IMSDB"
1411,"The Time Machine","IMSDB"
1412,"Tin Cup","IMSDB"
1413,"To Sleep with Anger","IMSDB"
1414,"Tin Men","IMSDB"
1415,"Titanic","IMSDB"
1416,"Three Musketeers, The","IMSDB"
1417,"Top Gun","IMSDB"
1418,"Total Recall","IMSDB"
1419,"Tombstone","IMSDB"
1420,"Tomorrow Never Dies","IMSDB"
1421,"Toy Story","IMSDB"
1422,"Trainspotting","IMSDB"
1423,"Traffic","IMSDB"
1424,"Training Day","IMSDB"
1425,"Tristan and Isolde","IMSDB"
1426,"Transformers: The Movie","IMSDB"
1427,"Tremors","IMSDB"
1428,"Tropic Thunder","IMSDB"
1429,"True Lies","IMSDB"
1430,"Troy","IMSDB"
1431,"True Romance","IMSDB"
1432,"Twilight: New Moon","IMSDB"
1433,"Twilight","IMSDB"
1434,"The Truman Show","IMSDB"
1435,"Twin Peaks","IMSDB"
1436,"Twins","IMSDB"
1437,"Two For The Money","IMSDB"
1438,"Unbreakable","IMSDB"
1439,"U Turn","IMSDB"
1440,"Courage Under Fire","IMSDB"
1441,"Up","IMSDB"
1442,"Unforgiven","IMSDB"
1443,"The Usual Suspects","IMSDB"
1444,"V for Vendetta","IMSDB"
1445,"Valentine's Day","IMSDB"
1446,"Valkyrie","IMSDB"
1447,"Vanilla Sky","IMSDB"
1448,"The Village","IMSDB"
1449,"Virtuosity","IMSDB"
1450,"The Verdict","IMSDB"
1451,"Very Bad Things","IMSDB"
1452,"Walking Tall","IMSDB"
1453,"The Visitor","IMSDB"
1454,"Wag the Dog","IMSDB"
1455,"Walk to Remember, A","IMSDB"
1456,"Wall-E","IMSDB"
1457,"Wall Street","IMSDB"
1458,"Wanted","IMSDB"
1459,"War of the Worlds","IMSDB"
1460,"Warm Springs","IMSDB"
1461,"Watchmen","IMSDB"
1462,"What Lies Beneath","IMSDB"
1463,"What About Bob?","IMSDB"
1464,"When a Stranger Calls","IMSDB"
1465,"We Own the Night","IMSDB"
1466,"White Christmas","IMSDB"
1467,"While She Was Out","IMSDB"
1468,"The White Ribbon","IMSDB"
1469,"White Jazz","IMSDB"
1470,"White Squall","IMSDB"
1471,"Whiteout","IMSDB"
1472,"Who's Your Daddy","IMSDB"
1473,"Who Framed Roger Rabbit?","IMSDB"
1474,"Wild At Heart","IMSDB"
1475,"The Wild Bunch","IMSDB"
1476,"Wild Things","IMSDB"
1477,"Wild Things: Diamonds in the Rough","IMSDB"
1478,"Withnail and I","IMSDB"
1479,"Wild Wild West","IMSDB"
1480,"Willow","IMSDB"
1481,"Wind Chill","IMSDB"
1482,"Witness","IMSDB"
1483,"The Wizard of Oz","IMSDB"
1484,"Wonder Boys","IMSDB"
1485,"The Woodsman","IMSDB"
1486,"The World is not Enough","IMSDB"
1487,"The Wrestler","IMSDB"
1488,"X-Men Origins: Wolverine","IMSDB"
1489,"The X-Files: Fight the Future","IMSDB"
1490,"X-Men","IMSDB"
1491,"Year One","IMSDB"
1492,"You've Got Mail","IMSDB"
1493,"Yes Man","IMSDB"
1494,"You Can Count On Me","IMSDB"
1495,"Zerophilia","IMSDB"
1496,"Youth in Revolt","IMSDB"
1497,"xXx","IMSDB"
1498,9,"Manual"
1499,9,"Manual"
1500,12,"Manual"
1501,12,"Manual"
1502,42,"Manual"
1503,42,"Manual"
1504,42,"Manual"
1505,187,"Manual"
1506,531,"Manual"
1507,1408,"Manual"
1508,2010,"Manual"
1509,2012,"Manual"
1510,2012,"Manual"
1511,2012,"Manual"
1512,"10 Things I Hate About You","Manual"
1513,"10 Things I Hate About You","Manual"
1514,"12 and Holding","Manual"
1515,"12 Monkeys","Manual"
1516,"12 Monkeys","Manual"
1517,"12 Years a Slave","Manual"
1518,"12 Years a Slave","Manual"
1519,"12 Years a Slave","Manual"
1520,"127 Hours","Manual"
1521,"127 Hours","Manual"
1522,"1492: Conquest of Paradise","Manual"
1523,"15 Minutes","Manual"
1524,"15 Minutes","Manual"
1525,"17 Again","Manual"
1526,"2001: A Space Odyssey","Manual"
1527,"2001: A Space Odyssey","Manual"
1528,"25th Hour","Manual"
1529,"25th Hour","Manual"
1530,"30 Minutes or Less","Manual"
1531,"44 Inch Chest","Manual"
1532,"48 Hrs.","Manual"
1533,"50-50","Manual"
1534,"500 Days of Summer","Manual"
1535,"500 Days of Summer","Manual"
1536,"8 Mile","Manual"
1537,"8MM","Manual"
1538,"A Few Good Men","Manual"
1539,"A Few Good Men","Manual"
1540,"A Serious Man","Manual"
1541,"A Serious Man","Manual"
1542,"A.I.","Manual"
1543,"Above the Law","Manual"
1544,"Above the Law","Manual"
1545,"Absolute Power","Manual"
1546,"Absolute Power","Manual"
1547,"The Abyss","Manual"
1548,"The Abyss","Manual"
1549,"Ace Ventura: Pet Detective","Manual"
1550,"Ace Ventura: Pet Detective","Manual"
1551,"Adaptation","Manual"
1552,"Adaptation","Manual"
1553,"Adaptation","Manual"
1554,"The Addams Family","Manual"
1555,"The Addams Family","Manual"
1556,"The Adjustment Bureau","Manual"
1557,"The Adventures of Buckaroo Banzai Across the Eighth Dimension","Manual"
1558,"The Adventures of Buckaroo Banzai Across the Eighth Dimension","Manual"
1559,"Affliction","Manual"
1560,"Affliction","Manual"
1561,"After School Special","Manual"
1562,"After School Special","Manual"
1563,"After.Life","Manual"
1564,"Agnes of God","Manual"
1565,"Agnes of God","Manual"
